id,original,simplified,system
0,"The architecture of Winchester College is a diverse set of architectural styles, reflecting the multiple periods of building from the college's foundation in 1382, through additions in the medieval and Early Modern periods, to a major expansion of accommodation in the Victorian era and then further extensions at the turn of the 20th century and more recently.","The architecture of Winchester College is a diverse set of styles, reflecting the multiple periods of building from the college's foundation in 1382, through additions in the medieval and Early Modern periods, to a major expansion in the Victorian era and then further extensions at the turn of the 20th century and more recently.",T5-3B
1,"Bone has published numerous books including Fantastic Fungi Community Cookbook (2021), which includes recipes by wild mushroom foragers, mycologists, and chefs specializing in mushroom-based dishes.","Bone has published numerous books including "" Fantastic Fungi Community Cookbook "" (2021). This book includes recipes by wild mushroom foragers, mycologists, and chefs specializing in mushroom-based dishes.",T5-3B
2,"In Marriages and Infidelities, Oates explicitly alludes to novellas and short stories by earlier writers, making use of either their titles or their themes and adapting them in accordance with her artistic intentions.","In "" Marriages and Infidelities "" Oates uses short stories and novellas as inspiration for her work.",T5-3B
3,"Two sisters, Leah and Chantrelle, and their acquaintance Hosanna catch a steamboat from Saint Ann Parish in Jamaica to the United Kingdom, arriving in London's Notting Hill before moving to the Midlands.","Two sisters, Leah and Chantrelle, and their friend Hosanna catch a steamboat from Saint Ann Parish in Jamaica to the United Kingdom. It arrives in London's Notting Hill before moving to the Midlands.",T5-3B
4,"Repeatedly besieged during the War of Restoration of Independence, it was during the siege of the city of Elvas, led by the Spanish commander Don Luis de Haro in 1658, that the fort stood out for its defenders' heroic resistance.","It was besieged repeatedly during the War of Restoration of Independence. During the siege of the city of Elvas led by the Spanish commander Don Luis de Haro in 1658, the fort stood out for its defenders'heroic resistance.",T5-3B
5,"Nasepia has an appearance similar to that of most other Erniettomorphs from Namibia, with it having a leaf-like body with thin ribs and spindle-shaped bodies, however it differentiates itself from other taxa such as Pteridinium and Rangea in the sense that it has smaller petaloids and with the configuration of the ribs being sub-parallel to its axis.",Nasepia has an appearance similar to that of most other Erniettomorphs from Namibia. It has a leaf-like body with thin ribs and spindle-shaped bodies.,T5-3B
6,"Republicans have blamed the increase in violent crime and homicides in 2020 and 2021 on progressives and liberals, although Biden had previously rejected calls to ""defund the police"", a slogan supported by racial justice protesters.","Republicans have blamed the increase in violent crime and homicides in 2020 on progressives and liberals. Biden previously rejected calls to "" defund the police "", a slogan supported by racial justice protesters.",T5-3B
7,"After defeating PSD candidate Viorica Dăncilă by a landslide in 2019, his second term has been marked by the COVID-19 pandemic and by tremendous political instability given the corrupt governments he has endorsed after the 2020 legislative elections, in their composition being also his closest political allies, the social democrats, which he has endorsed at governance even more than Ion Iliescu.","After defeating PSD candidate Viorica Dăncilă by a landslide in 2019, his second term has been marked by the COVID-19 pandemic and by tremendous political instability given the corrupt governments he has endorsed after the 2020 legislative elections.",T5-3B
8,"Musk stated that Twitter Blue's pricing would be raised to around US$8.00 per-month, and include reduced advertising on the Twitter service, the ability to post longer audio and video files, and verified account status.","Musk stated that Twitter Blue's prices would be raised to around US $ 8.00 per month, and include reduced advertising on the Twitter service, the ability to post longer audio and video files, and verified account status.",T5-3B
9,"Musk also announced the creation of a ""content moderation council"" with diversified viewpoints to determine how the platform would handle free speech, and declared a moratorium on ""major content decisions or account reinstatements"" until then.","Elon Musk also announced the creation of a "" content moderation council "" to determine how the platform would handle free speech, and announced a moratorium on "" major content decisions or account reinstatements "" until then.",T5-3B
