Original Sentence,Article Title,Article Topic,Article Creation Date,Article Link
"The club said on social media that customers subdued the gunman, that it was ""devastated by the senseless attack on our community"", and that it offered condolences to the victims and their families.",Colorado Springs nightclub shooting,event,Nov 20 2022,https://en.wikipedia.org/wiki/Colorado_Springs_nightclub_shooting
"According to the non-profit organization Iran Human Rights, as of 19 November 2022, at least 378 people including 43 minors under 18 years of age had been killed as a result of the government's intervention in the protests, involving tear gas and gunfire, making the protests the deadliest since the 2019–2020 protests that resulted in more than 1,500 fatalities.",Mahsa Amini protests,event,Nov 19 2022 (edit time),https://en.wikipedia.org/wiki/Mahsa_Amini_protests
"The film stars Julie Ledru as Julia, a young woman living in social housing who has a poor relationship with her mother; passionate about the sport of motocross, she tries to gain the opportunity to participate in the sport by posing as a buyer on shopping websites so that she can take bikes out for test rides.",Rodeo (2022 French film),film,Nov 20 2022,https://en.wikipedia.org/wiki/Rodeo_(2022_French_film)
"The film centers on a reclusive wealthy family who has spent months living in virtual isolation in the family mansion to prevent their community from finding out that daughter Hélène has gotten pregnant from a one-night stand, only to have their fragile equilibrium challenged when Hélène abandons the house soon after the baby's birth to look for the father.",In Broad Daylight (2022 film),film,Nov 17 2022,https://en.wikipedia.org/wiki/In_Broad_Daylight_(2022_film)
"Days prior to the start of the 2022 FIFA World Cup, Qatar was accused of reportedly having paid actors to play the role of fans at the tournament in order to promote the country.",2022 FIFA World Cup controversies,event,Nov 13 2022,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_controversies
"According to anonymous sources cited by The Wall Street Journal, FTX had lent $10 billion of its customer assets to Alameda Research in 2022, and Alameda CEO Caroline Ellison disclosed to other Alameda employees that she, Sam Bankman-Fried, Gary Wang, and Nishad Singh knew about that decision.",FTX (company),finance,Nov 12 2022 (edit time),https://en.wikipedia.org/wiki/FTX_(company)
"In the opening game of their group, they defeated a much fancied Argentina side 2-1, ending an Argentine unbeaten streak of 36 games dating back to 2019.",Saudi Arabia national football team,sports,Nov 22 2022 (edit time),https://en.wikipedia.org/wiki/Saudi_Arabia_national_football_team
"According to the eyewitness account, the shooter ""snapped,"" before shooting a woman, proceeding to kill employees within the break room before firing at least ten shots in the grocery aisles.",2022 Chesapeake shooting,event,Nov 22 2022,https://en.wikipedia.org/wiki/2022_Chesapeake_shooting
"The Iranian team notably made headlines in their opening match against England after refusing to sing the national anthem in solidarity with the Mahsa Amini protests, with some Iranian supporters cheering against their own team or boycotting their team amidst the ongoing protests as they felt the team was representing the government.",Iran national football team,sports,Nov 22 2022,https://en.wikipedia.org/wiki/Iran_national_football_team
"The activists called out to the Russian delegation, stating that the Russians were war criminals who didn't have the right to be present at the conference and didn't deserve respect.",2022 United Nations Climate Change Conference,event,Nov 15 2022 (edit time),https://en.wikipedia.org/wiki/2022_United_Nations_Climate_Change_Conference
